Ticker,TotalCalendarDays,ValidPriceObservations,MissingPriceObservations,MissingPriceRatio,FirstValidDate,LastValidDate,MaxConsecutiveMissingDays,KeepAsset,DropReason
APP,2516,935,1581,0.6283783783783784,2021-04-15,2024-12-31,1581,False,too_many_missing_prices;history_too_short_or_starts_too_late;long_consecutive_missing_gap_possible_suspension
GEV,2516,193,2323,0.9232909379968204,2024-03-27,2024-12-31,2323,False,too_many_missing_prices;history_too_short_or_starts_too_late;long_consecutive_missing_gap_possible_suspension
PLTR,2516,1070,1446,0.5747217806041336,2020-09-30,2024-12-31,1446,False,too_many_missing_prices;history_too_short_or_starts_too_late;long_consecutive_missing_gap_possible_suspension
AAPL,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ABBV,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ABT,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ADI,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
AMAT,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
AMD,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
AMGN,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
AMZN,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ANET,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
APH,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
AVGO,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
AXP,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
BA,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
BAC,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
BLK,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
BRK-B,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
BX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
C,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
CAT,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
COST,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
CRM,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
CSCO,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
CVX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
DE,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
DIS,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ETN,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
GE,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
GILD,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
GOOG,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
GOOGL,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
GS,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
HD,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
IBM,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
INTC,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ISRG,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
JNJ,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
JPM,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
KLAC,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
KO,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
LIN,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
LLY,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
LRCX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
MA,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
MCD,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
META,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
MRK,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
MS,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
MSFT,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
MU,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
NEE,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
NFLX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
NVDA,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
ORCL,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
PEP,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
PFE,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
PG,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
PM,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
QCOM,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
RTX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
SCHW,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
STX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
T,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
TJX,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
TMO,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
TMUS,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
TSLA,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
TXN,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
UNH,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
UNP,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
V,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
VZ,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
WDC,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
WELL,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
WFC,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
WMT,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
XOM,2516,2516,0,0.0,2015-01-02,2024-12-31,0,True,
