Ticker,HardOutlierCount,WinsorLowerQuantile,WinsorUpperQuantile,LowerClipValue,UpperClipValue,LowerClippedCount,UpperClippedCount
AAPL,0,0.001,0.999,-0.08914581298546728,0.09661183633409494,3,3
ABBV,0,0.001,0.999,-0.12661105240368972,0.08656771935688314,3,3
ABT,0,0.001,0.999,-0.08999935755491316,0.07881248060785173,3,3
ADI,0,0.001,0.999,-0.08339547169193579,0.1076316085169976,3,3
AMAT,0,0.001,0.999,-0.11649458346328555,0.11682346581637973,3,3
AMD,1,0.001,0.999,-0.15002093658728347,0.16249386543295735,3,3
AMGN,0,0.001,0.999,-0.07177650611875348,0.09461423732323081,3,3
AMZN,0,0.001,0.999,-0.08169658256308607,0.1337166814583943,3,3
ANET,0,0.001,0.999,-0.1381267909490731,0.19139701483507127,3,3
APH,0,0.001,0.999,-0.08494336544618951,0.07241790264035813,3,3
AVGO,0,0.001,0.999,-0.1236175184555294,0.13452936079753472,3,3
AXP,0,0.001,0.999,-0.12257931617324082,0.16522228742820402,3,3
BA,0,0.001,0.999,-0.18013430142731454,0.17030776428598285,3,3
BAC,0,0.001,0.999,-0.09775675240657904,0.11360453765901254,3,3
BLK,0,0.001,0.999,-0.0907721940941315,0.11022655074971552,3,3
BRK-B,0,0.001,0.999,-0.07548001257282187,0.05785913696766288,3,3
BX,0,0.001,0.999,-0.11745181491458126,0.11827021468307793,3,3
C,0,0.001,0.999,-0.14078887906036563,0.12683828937597916,3,3
CAT,0,0.001,0.999,-0.08536341961235869,0.08565210526319292,3,3
COST,0,0.001,0.999,-0.07410442887444924,0.07624777112123081,3,3
CRM,0,0.001,0.999,-0.12320111886206478,0.11547560645708167,3,3
CSCO,0,0.001,0.999,-0.10415495225883525,0.09514017824436717,3,3
CVX,0,0.001,0.999,-0.1258389375123647,0.10634847432431223,3,3
DE,0,0.001,0.999,-0.10231140774900256,0.10459470320604752,3,3
DIS,0,0.001,0.999,-0.09492735325165877,0.11765010551571653,3,3
ETN,0,0.001,0.999,-0.10385275388838437,0.08496906317335798,3,3
GE,0,0.001,0.999,-0.11627435662128455,0.11554814619190455,3,3
GILD,0,0.001,0.999,-0.08540260003058696,0.0857859898595655,3,3
GOOG,0,0.001,0.999,-0.08915235428615594,0.09675534988189427,3,3
GOOGL,0,0.001,0.999,-0.08659469018181859,0.09425375753004954,3,3
GS,0,0.001,0.999,-0.11053647050032976,0.11270956692588577,3,3
HD,0,0.001,0.999,-0.09590004337376204,0.0764891993862225,3,3
IBM,0,0.001,0.999,-0.09341613021931904,0.08658587293089157,3,3
INTC,0,0.001,0.999,-0.14013770568455552,0.10603710952462825,3,3
ISRG,0,0.001,0.999,-0.09079949452949368,0.10127720433898439,3,3
JNJ,0,0.001,0.999,-0.06573489477064473,0.0715530590463337,3,3
JPM,0,0.001,0.999,-0.0940503131488317,0.1171447885385501,3,3
KLAC,0,0.001,0.999,-0.11331078149708339,0.160145180550892,3,3
KO,0,0.001,0.999,-0.07678378360593585,0.06187313590908046,3,3
LIN,0,0.001,0.999,-0.07731854786996446,0.08172744236063766,3,3
LLY,0,0.001,0.999,-0.08547562270169688,0.12566529148682504,3,3
LRCX,0,0.001,0.999,-0.12414931065140267,0.14409058387973633,3,3
MA,0,0.001,0.999,-0.0840386210307592,0.10804662573060199,3,3
MCD,0,0.001,0.999,-0.07321178428549475,0.08493977398567562,3,3
META,0,0.001,0.999,-0.16541041930242326,0.16528507142786203,3,3
MRK,0,0.001,0.999,-0.07897567374522649,0.07523384146691364,3,3
MS,0,0.001,0.999,-0.10258412043522296,0.10441764003779369,3,3
MSFT,0,0.001,0.999,-0.08462966255459811,0.09569471637004791,3,3
MU,0,0.001,0.999,-0.13635518485210674,0.13229811174827716,3,3
NEE,0,0.001,0.999,-0.09040298281789501,0.08798869251736956,3,3
NFLX,0,0.001,0.999,-0.13046161144126406,0.176686998689581,3,3
NVDA,0,0.001,0.999,-0.13008429560295842,0.17481811437193248,3,3
ORCL,0,0.001,0.999,-0.10934080375812977,0.1251256853171561,3,3
PEP,0,0.001,0.999,-0.08582381124301816,0.07546948113749889,3,3
PFE,0,0.001,0.999,-0.07070235987843261,0.07370729517022445,3,3
PG,0,0.001,0.999,-0.06815614890342542,0.07566298899356065,3,3
PM,0,0.001,0.999,-0.10850499687885051,0.08472126501697791,3,3
QCOM,0,0.001,0.999,-0.11908420245528682,0.12926171632466174,3,3
RTX,0,0.001,0.999,-0.10071561758767979,0.10923085754477367,3,3
SCHW,0,0.001,0.999,-0.11803069496158247,0.1070564026672804,3,3
STX,0,0.001,0.999,-0.16659038085901903,0.1252888886939943,3,3
T,0,0.001,0.999,-0.08541143795688669,0.07733882460264233,3,3
TJX,0,0.001,0.999,-0.08454269389758162,0.10182848162802927,3,3
TMO,0,0.001,0.999,-0.07108563545452865,0.07389723960066859,3,3
TMUS,0,0.001,0.999,-0.08523687406106714,0.10131665764519192,3,3
TSLA,0,0.001,0.999,-0.1658914169426184,0.18996896584434,3,3
TXN,0,0.001,0.999,-0.08318150773755001,0.08850073104132879,3,3
UNH,0,0.001,0.999,-0.08958175618050242,0.09704307357954882,3,3
UNP,0,0.001,0.999,-0.08676526654628032,0.09497986340039599,3,3
V,0,0.001,0.999,-0.07305091971541632,0.1020830391203959,3,3
VZ,0,0.001,0.999,-0.06342040592001305,0.06944794266152199,3,3
WDC,0,0.001,0.999,-0.16504624406366453,0.13890931851352054,3,3
WELL,0,0.001,0.999,-0.13266055999858872,0.15112477963464413,3,3
WFC,0,0.001,0.999,-0.11092370096771548,0.12442802153559568,3,3
WMT,0,0.001,0.999,-0.09542195228688273,0.09618494641681294,3,3
XOM,0,0.001,0.999,-0.0976648469757536,0.09218849394962925,3,3
