sigma_max,AAPL,ABBV,ABT,ADI,AMAT,AMD,AMGN,AMZN,ANET,APH,AVGO,AXP,BA,BAC,BLK,BRK-B,BX,C,CAT,COST,CRM,CSCO,CVX,DE,DIS,ETN,GE,GILD,GOOG,GOOGL,GS,HD,IBM,INTC,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LRCX,MA,MCD,META,MRK,MS,MSFT,MU,NEE,NFLX,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SCHW,STX,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,V,VZ,WDC,WELL,WFC,WMT,XOM
0.008207054253724429,4.253841799929929e-09,7.465485097780562e-09,1.6741122081013997e-09,1.5287157057040412e-09,5.552794562234945e-09,2.0601226990707417e-09,9.971866175808952e-10,5.864016942425262e-09,0.03490123581128771,4.189100945708928e-09,1.063710470185547e-09,0.03244922145357967,4.1377550871507195e-09,2.7012893870141694e-09,1.947807945545219e-09,5.522155196971345e-09,2.5791390964188175e-09,1.7272192528801034e-09,1.1094679651065115e-08,0.050021789370819164,2.399077224922763e-09,2.8657781124031186e-09,2.236656182643174e-09,0.020819237073748373,0.010037985122294934,1.741504046029322e-09,1.0929401787171412e-08,2.510735564807136e-09,9.659622980192173e-09,1.0106775600406907e-08,2.054064575397756e-09,6.553381596137389e-09,4.352144716705446e-09,1.1839077045586295e-08,0.06403762361718593,0.02901790145017338,1.980469247784722e-09,5.84379217162296e-09,0.10511934498303249,0.07621132728151196,6.8951862017010875e-09,3.777998955310898e-09,2.562339801248247e-09,0.03552444316828279,1.0916114469977457e-08,3.4383168413532197e-09,1.1836191328257713e-09,1.7313517551663777e-09,1.4098770147938208e-09,0.049419663930909345,2.0517755333423948e-09,3.585439823632758e-09,4.6608859972357175e-09,0.03960458548947169,0.017606095082410383,0.05670370303224397,0.020008551959862033,0.007386773409884329,1.3049869910733343e-08,1.5176911081274336e-09,2.8353956005468497e-09,0.08191661147034583,0.02630240150380469,3.065663675521223e-09,0.054048850716287705,2.4091105037361493e-09,2.0548303056380487e-09,1.4050803420371938e-08,2.7408056665071266e-09,3.8693879157417915e-09,0.07374360459531439,2.15141170360935e-09,0.0710450001431039,3.081674875683531e-09,0.04407381052680214,6.336479213496313e-09
0.010493868254034488,9.638454680663036e-08,8.026465421213985e-08,7.009622627913833e-08,7.310844741638075e-08,5.1589737840198853e-08,1.8827444242752765e-07,5.9141275323454e-08,0.14034579662226676,0.040478996014198174,8.500749103787034e-08,2.645422744005128e-07,6.14493099110524e-08,3.035821038202198e-07,5.7889681584990055e-08,7.166139889775072e-08,8.223952690288493e-08,6.156711359803497e-08,5.5215840766450956e-08,5.791426804544564e-08,0.06895916841242475,2.3453272131619228e-07,8.578877725982482e-08,5.653765033646084e-08,1.309367476155027e-07,1.1591703036724726e-06,4.8040663046680146e-08,0.04989120569918623,1.0275719136757362e-07,4.057180051231301e-07,6.034030464606946e-07,5.992938547871743e-08,0.05014530549209108,7.148564586712289e-08,1.2452265016019975e-07,0.028127215633143975,3.146798571214186e-07,8.67604958407533e-08,2.2912483703733366e-07,0.05782830588595964,1.102963226985052e-07,0.015834571507078652,1.0170056028402556e-07,1.1328482448412226e-07,0.13507765891192272,1.938534031161119e-06,1.0755306919136238e-07,3.7615323479547204e-08,1.0934349743452357e-07,1.5949464657639922e-08,0.004039597194657179,0.06477350591389591,0.0800639907208255,6.221430257738063e-08,0.024145531883618013,8.03938871072055e-07,1.832191598152177e-07,0.027735422239068733,5.5484582533405885e-08,8.892004298635687e-08,6.803748068513866e-08,2.9765382439045024e-08,0.05294638496116766,6.83808129551163e-07,1.9597246535496678e-07,0.14518793368648988,7.147201585755283e-08,8.18183703550937e-08,5.299879474694268e-06,3.7350230865740564e-08,1.710100524200185e-07,7.19504175071547e-05,2.525037340130417e-08,0.014331375532422395,9.645730597195744e-08,8.043033781916225e-08,8.065008687061892e-08
0.012780682254344547,2.172986883594231e-09,1.7556587616008035e-09,1.947198482050531e-09,1.924567142849479e-09,1.2098183956621052e-09,4.12343152488414e-09,1.7792257825036754e-09,0.23495684433406663,0.03184027781379604,1.9548850218057425e-09,1.1729755975049933e-08,1.2780188354118896e-09,5.538245437233718e-09,1.4443319467812995e-09,1.8377398773855596e-09,1.87340373673606e-09,1.5268851515922375e-09,1.4646464071334522e-09,1.30937786429595e-09,0.02751761778301195,6.366836203282374e-09,2.122539524527572e-09,1.3966973251498094e-09,2.33373193379233e-09,7.315692117971603e-09,1.21996464230094e-09,0.04963587606703375,2.6179035451119165e-09,6.15070711837252e-09,7.726733232034782e-09,1.550707103259812e-09,0.056447974312397946,1.6888121649633939e-09,2.5135239739910905e-09,1.8568193642126082e-08,4.059805957452545e-09,2.2478559054387196e-09,4.106014160917836e-09,2.5532277724043428e-08,1.872058364261653e-09,0.005513660090266856,2.2888782977483825e-09,2.8808126845207795e-09,0.15578683627261317,1.2193223136278119e-08,2.487169445412975e-09,1.0478102841984302e-09,2.903050743431778e-09,4.30664437131456e-10,1.030430347460531e-08,0.11727302407421385,0.13751273105037679,1.4414898605746022e-09,2.102555877117451e-08,5.871195621795008e-09,2.8133266436659443e-09,3.075043446711368e-08,1.2419781209359733e-09,1.8728621523432835e-09,1.879852530876673e-09,7.377825415845599e-10,3.094578776435691e-08,6.060063975341841e-09,4.222468966851463e-09,0.18351482633523972,1.7638173308373257e-09,2.109809421517094e-09,1.0172496944507783e-08,9.359924511356954e-10,3.807947066373221e-09,8.799553385495859e-09,6.605005518713112e-10,1.0275704907498735e-08,2.2868641674875835e-09,1.6124730547155332e-09,1.7828781550066928e-09
0.015067496254654604,6.625354996122308e-09,5.322501909495862e-09,6.241445533032858e-09,6.479752533845408e-09,3.843865533946986e-09,1.2049068238688693e-08,6.1564953077971895e-09,0.344361301215246,0.0003937896154362264,6.017120580052301e-09,1.0742892571863908e-07,3.783142876073421e-09,1.4198813223956205e-08,4.809704183726797e-09,5.852353142643722e-09,5.5231772996582134e-09,5.045263699056199e-09,4.927528956112971e-09,4.063996712488291e-09,4.47265142915664e-08,2.0996141511115718e-08,6.5503728947070595e-09,4.38041863961403e-09,6.35912681996103e-09,1.5282777853034047e-08,3.940155814604981e-09,5.872836214594451e-07,8.236640009695295e-09,1.6729615926017563e-08,1.952316714165326e-08,5.1009121906486394e-09,5.103004383767229e-07,5.157415784628564e-09,7.205005785705553e-09,1.810194515061481e-08,9.782503179331509e-09,7.330962959781401e-09,1.0466704673644646e-08,1.840911734065474e-08,5.0604941487323604e-09,5.0078324683926864e-08,7.062655429323008e-09,9.054820524932249e-09,0.09768150574395366,2.593149716697834e-08,7.2012778042636655e-09,3.60629390920431e-09,9.610658461231005e-09,1.4798613967643614e-09,1.4400522046528679e-08,0.17439646916049573,0.19408341072895455,4.478203654531027e-09,2.0227818268658405e-08,1.2668203699321388e-08,6.980335616176159e-09,2.0561017407487034e-08,3.830643867037116e-09,5.435351700831746e-09,6.60630290464063e-09,2.3900887937630317e-09,2.0918696185918206e-08,1.3382384149598372e-08,1.1248086865009177e-08,0.1890816365989958,5.91608689381989e-09,6.9744405460377634e-09,1.7863424956456437e-08,3.0418944749893078e-09,1.0988248449246104e-08,1.3789195725739683e-08,2.1815437582290354e-09,1.291216146701446e-08,6.965006201200518e-09,4.540328820481308e-09,5.318979775877768e-09
0.017354310254964665,5.407645497993448e-09,4.562628690482421e-09,5.238657344138471e-09,5.7492660028786914e-09,3.487839672551904e-09,9.109962356041681e-09,5.4221565247327904e-09,0.4482559500839646,1.75168548272885e-08,5.0017813579108655e-09,2.3012892329761773e-08,3.2963942946086508e-09,8.444009213632159e-09,4.419277159298073e-09,4.95949275640591e-09,4.506673738874586e-09,4.543302435011153e-09,4.500312449859873e-09,3.5629237112059476e-09,1.1691932774854523e-08,1.3294645682084253e-08,5.42223308017693e-09,3.868146173497251e-09,4.863768224045048e-09,8.81405930274359e-09,3.5833146547450673e-09,1.6110108089385873e-08,6.399768060504252e-09,1.1272949510985724e-08,1.2064831861060284e-08,4.565150835866787e-09,1.6774914495888774e-08,4.343091349680768e-09,5.660817569816662e-09,8.126146997477046e-09,6.3908199911267795e-09,6.076169970705997e-09,6.939602094239277e-09,8.167344893268226e-09,4.046795959991166e-09,1.313090433250795e-08,5.850103710600276e-09,7.1228711442238844e-09,1.6309447324572885e-08,1.2507635199430393e-08,5.518012399922197e-09,3.4910022266581306e-09,8.098331218362143e-09,1.611703329631766e-09,7.442024115207441e-09,0.236743559392248,0.20449725908947847,3.903622080049459e-09,8.854698255564723e-09,7.715773771486648e-09,5.030321330727015e-09,9.231029082059947e-09,3.3753718132991926e-09,4.378136219649094e-09,6.012168605337976e-09,2.3330590543595333e-09,9.099598521680917e-09,7.71201468826182e-09,7.53209995753587e-09,0.11050272227938847,5.40914999307692e-09,5.936068204302971e-09,9.526774862479396e-09,2.8709569187162237e-09,7.98102553647983e-09,7.509011901616723e-09,2.1732360908485277e-09,6.672135878172777e-09,5.5927424753519805e-09,3.6249128834123596e-09,4.380295367978811e-09
0.01964112425527472,9.928193676548708e-09,8.371113278203709e-09,9.613433628504985e-09,1.0749649752481289e-08,6.419401318464057e-09,1.693718503916032e-08,1.0091854090831055e-08,0.5313520903828,3.552199454360374e-08,9.140862198427817e-09,9.17696263034324e-08,6.0006756984980024e-09,1.5127783273434704e-08,8.192929287903825e-09,9.099826980437307e-09,8.17452669714464e-09,8.450891527918111e-09,8.35755634186637e-09,6.507486205101342e-09,2.0411027665962948e-08,2.504293037331056e-08,9.887840674907295e-09,7.08983048312746e-09,8.73599254503229e-09,1.5628553475072895e-08,6.600668431272067e-09,3.066945414743054e-08,1.1713048166710246e-08,2.0404205489024997e-08,2.172855767135227e-08,8.437986807164871e-09,3.174405517822694e-08,7.924037988085238e-09,1.0274975861468647e-08,1.4158191995386169e-08,1.136828501819183e-08,1.11720047813208e-08,1.2484290371356247e-08,1.417644381869455e-08,7.284460174801262e-09,2.36937926176414e-08,1.0776811640434222e-08,1.3011137258483245e-08,4.4063572816876205e-08,2.2608097459445425e-08,1.0003995195781753e-08,6.514445747066417e-09,1.4933103773849326e-08,3.0052840053413176e-09,1.2986353394649638e-08,0.3115280557812526,0.15711766982495765,7.13803814833022e-09,1.5465503947279745e-08,1.3747494780603663e-08,8.951660743499654e-09,1.6090367560324125e-08,6.173426660793437e-09,7.93483481714859e-09,1.124290985929271e-08,4.3004288185608384e-09,1.5847908117884018e-08,1.3586608694583824e-08,1.3560833329165385e-08,1.1917709461777006e-06,1.0136063497745505e-08,1.0983049869855792e-08,1.692515286759095e-08,5.2889200911520225e-09,1.4480979180917765e-08,1.3158346815099402e-08,4.023321148851268e-09,1.1553241529517029e-08,1.0190648413808413e-08,6.516033098971748e-09,7.955846864553697e-09
0.02192793825558478,3.5694978482214246e-09,3.124793212391639e-09,3.4782700563064252e-09,3.839897341400243e-09,2.4884608139772573e-09,5.116764885960035e-09,3.717892949435925e-09,0.5797763202068041,7.478475326077681e-09,3.347790076971023e-09,1.9591598946219803e-08,2.3601708596979635e-09,4.507841749134804e-09,3.1885509781889087e-09,3.3542513597552264e-09,2.9578712410571492e-09,3.236522872494601e-09,3.2385478936086135e-09,2.506425227843987e-09,5.221482713259244e-09,6.796996869394044e-09,3.558969869466776e-09,2.7391483421849294e-09,3.0600952567057038e-09,4.601811917504176e-09,2.5852207399474015e-09,6.627826190574926e-09,3.998828894475649e-09,6.552680134895204e-09,6.729470673585199e-09,3.172215701662905e-09,6.824919256235592e-09,2.9236901391673493e-09,3.5032844757296375e-09,4.102053101031925e-09,3.6284582651707947e-09,3.90067317013672e-09,3.856230856210313e-09,4.0117401242080375e-09,2.6471435752528843e-09,5.881677915008301e-09,3.7169871296506037e-09,4.387394338185313e-09,7.646936546573582e-09,6.3825763233837836e-09,3.3902894741669035e-09,2.7002558014334526e-09,5.156767101224924e-09,1.4519421437498129e-09,3.806332862580789e-09,0.40680878202633314,0.013414579426349042,2.7142407476666027e-09,4.300071338019151e-09,4.140400383629658e-09,3.0777630451530066e-09,4.556532638684034e-09,2.3921475050623303e-09,2.8578249545136317e-09,4.103460531298389e-09,1.84903798516042e-09,4.404273612144428e-09,4.091521609995394e-09,4.2692518335005585e-09,2.1355244049701554e-08,3.879158227162243e-09,3.805708734489852e-09,5.009773805132465e-09,2.1611733201862515e-09,4.701956364963667e-09,3.9026731059765605e-09,1.7703035954943485e-09,3.4371179455122875e-09,3.570698846379891e-09,2.4065827023427746e-09,2.9158731218151234e-09
0.02421475225589484,4.10991063791159e-09,3.6236198881684046e-09,4.009751821820661e-09,4.4048253362302976e-09,2.9112155520458613e-09,5.647713449235241e-09,4.285545480313457e-09,0.41608537543156365,7.212944682952018e-09,3.868964873706118e-09,1.0740609829959024e-08,2.764434820603617e-09,5.030694917408698e-09,3.707254974390677e-09,3.877419054303283e-09,3.425547934444989e-09,3.757318307854837e-09,3.7634494753517694e-09,2.9278144199962813e-09,5.637451981071719e-09,7.204053663267104e-09,4.098138182474375e-09,3.194413147417006e-09,3.531806532870959e-09,5.114380629137478e-09,3.022621824271013e-09,6.713260063908907e-09,4.564288936534561e-09,7.2775098324513046e-09,7.420544495785684e-09,3.678806667661478e-09,6.900412946859947e-09,3.3925581967985608e-09,4.0141642530526784e-09,4.582509253946212e-09,4.1252325733379e-09,4.465293115143845e-09,4.343097591882689e-09,4.475858853275812e-09,3.0758045847635663e-09,6.23171423360374e-09,4.254401514891493e-09,4.9807656563116096e-09,7.235485955792996e-09,6.9402765702273164e-09,3.888285139190891e-09,3.163471550393724e-09,5.8269789678093505e-09,1.7339572549259119e-09,4.275273420928781e-09,0.583914275142834,1.864712164940391e-08,3.1628675101232525e-09,4.762544552182292e-09,4.6416298257063065e-09,3.5450786175835473e-09,5.060051282863219e-09,2.801094025582596e-09,3.3121298673166793e-09,4.710389668860271e-09,2.18794339999421e-09,4.873978329477432e-09,4.601736200104839e-09,4.814006238717787e-09,9.965645561555942e-09,4.4838350231189e-09,4.3532597991947135e-09,5.566751607604296e-09,2.5417440889259368e-09,5.30314833329786e-09,4.383974754852417e-09,2.099093254570349e-09,3.886155955524948e-09,4.101241643364171e-09,2.806358860186956e-09,3.3819691288838584e-09
0.0265015662562049,1.2223838362565861e-08,1.041525060546511e-08,1.178486447503683e-08,1.3734094559375689e-08,8.164421056028847e-09,1.9033253254828132e-08,1.2761037971696389e-08,0.28964109558534007,2.7108908085182234e-08,1.1268915817160912e-08,4.923025456882212e-08,7.517782376612044e-09,1.615564165617458e-08,1.057895404635535e-08,1.1326138250689004e-08,9.871929586036478e-09,1.070776967714668e-08,1.0751524539966575e-08,8.098104408422215e-09,1.8930981207700363e-08,2.5499237531003848e-08,1.2240281854497289e-08,8.962198870030196e-09,1.0309670233953284e-08,1.6574251217223837e-08,8.416119434898557e-09,2.432466098850122e-08,1.3983790873643583e-08,2.3568051277781973e-08,2.4352564530467578e-08,1.0636042723537428e-08,2.50176102426578e-08,9.720707737597749e-09,1.2265109278213485e-08,1.4584040877875172e-08,1.2589828839241983e-08,1.3578929357954222e-08,1.389058095354313e-08,1.4204436103428375e-08,8.714989786551597e-09,2.1671516667059822e-08,1.3119013668716368e-08,1.5441001030164517e-08,2.718356721087827e-08,2.336661511408826e-08,1.1646697992929114e-08,8.679633378940393e-09,1.849258954626045e-08,4.207641006233133e-09,1.3395405051269338e-08,0.7103577329959373,1.1055173939571852e-07,8.932781360453244e-09,1.5392553389419276e-08,1.4762714947526982e-08,1.0379758370662207e-08,1.623156192413413e-08,7.780481750996876e-09,9.501482773891153e-09,1.4389868586019713e-08,5.6700532054474766e-09,1.5748230736651882e-08,1.439094953771193e-08,1.5117169293852293e-08,4.3721626420452444e-08,1.2877822229174658e-08,1.3518109204982647e-08,1.799671950648571e-08,6.789634816001398e-09,1.6571270119858977e-08,1.3765299107419179e-08,5.376059888753206e-09,1.1901917431966497e-08,1.2252729226751422e-08,7.785793282212864e-09,9.711948096853668e-09
0.028788380256514957,0.0,0.0,0.0,0.0,0.0,1.1946457201713388e-10,0.0,0.18397351310684038,1.6267209769318393e-10,0.0,2.897434582400027e-10,0.0,1.017707042024563e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.166651132987134e-10,1.5686742614993253e-10,0.0,0.0,0.0,1.039847435153344e-10,0.0,1.4670680840197795e-10,0.0,1.4780034243599615e-10,1.5185565077533835e-10,0.0,1.508909268731784e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3280886888027154e-10,0.0,0.0,1.6131837109705604e-10,1.4481273873472625e-10,0.0,0.0,1.175680646391956e-10,0.0,0.0,0.8160264834266597,6.926527184903293e-10,0.0,0.0,0.0,0.0,1.0181143610798563e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487918555779146e-10,0.0,0.0,1.1300719647231198e-10,0.0,1.0530673166371933e-10,0.0,0.0,0.0,0.0,0.0,0.0
0.031075194256825017,8.514738341389502e-09,7.737313660681137e-09,8.372973093598571e-09,8.948773529674028e-09,6.342674292154138e-09,1.0884531966410613e-08,8.912814253887178e-09,0.08878888733644846,1.2697152628315873e-08,8.181556190311559e-09,1.7248530940249307e-08,6.129586939784124e-09,9.900798580167816e-09,7.975963109288467e-09,8.1815321522239e-09,7.279180633625764e-09,8.088924413147721e-09,8.110963598724941e-09,6.451392761573409e-09,1.0700065475340569e-08,1.32207533953386e-08,8.495840199172646e-09,7.002632864643623e-09,7.476170819445853e-09,9.963166324323348e-09,6.678600965125138e-09,1.2246827396709993e-08,9.323525205969425e-09,1.3909864257888197e-08,1.4065480888832789e-08,7.822372097415547e-09,1.2589824011393262e-08,7.246775654119044e-09,8.249871871196147e-09,9.090851825725457e-09,8.386071714703069e-09,9.150736767494216e-09,8.652964309049321e-09,8.897365524785874e-09,6.616190886226029e-09,1.1608583504347967e-08,8.677590264091752e-09,9.956873035702009e-09,1.2796998571214308e-08,1.3111007053858611e-08,8.05308154659288e-09,6.9715129127029355e-09,1.1404352597595799e-08,4.201649542313847e-09,8.543116486091163e-09,0.911210425698054,2.7619846323536595e-08,6.837867046113814e-09,9.333174881743743e-09,9.157616993152672e-09,7.43362068447133e-09,1.005354744660275e-08,6.1287647328090404e-09,7.078861668950078e-09,9.634627419017708e-09,5.073542463231719e-09,9.537725695640448e-09,9.2496317588094e-09,9.624963396391406e-09,1.621448009280246e-08,9.541058101939356e-09,8.834418811420521e-09,1.0958531947434785e-08,5.723978556925611e-09,1.0497110103227672e-08,8.744990603779316e-09,4.876260725164101e-09,7.859572835645066e-09,8.505492312585022e-09,6.130330547935701e-09,7.245363330144238e-09
0.033362008257135076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.222332691273805e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999989966744,1.8109239793493053e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
